,english,francais
7020,frustrated,frustré
7021,pronounced,prononcé
7022,dumping,dumping
7023,collections,collections
7024,projection,projection
7025,container,récipient
7026,cdollars,cdollars
7027,newark,newark
7028,occasion,occasion
7029,peru,pérou
7030,ben,ben
7031,bernard,bernard
7032,positioned,positionné
7033,explosive,explosif
7034,gte,gte
7035,mitterrand,mitterrand
7036,exceptions,exceptions
7037,accessing,accès
7038,nationally,nationalement
7039,clearance,dégagement
7040,teen-agers,adolescents
7041,foster,favoriser
7042,wishes,vœux
7043,attitudes,attitudes
7044,independence,indépendance
7045,work,travail
7046,exe,exe
7047,fluctuations,fluctuations
7048,back,arrière
7049,unix-based,unix
7050,breakdown,décomposer
7051,personality,personnalité
7052,bias,préjugé
7053,existed,existé
7054,poison,poison
7055,wysiwyg,wysiwyg
7056,glenn,glenn
7057,irvine,irvine
7058,stimulate,stimuler
7059,lowering,abaissement
7060,hiding,dissimulation
7061,grocery,épicerie
7062,duplicate,dupliquer
7063,mr,m
7064,earning,revenus
7065,nippon,nippon
7066,pipes,tuyaux
7067,bp,bp
7068,formatted,formatée
7069,feasible,possible
7070,recognizes,reconnaît
7071,posed,posée
7072,fifth,cinquième
7073,bottle,bouteille
7074,cubic,cubique
7075,hart,cerf
7076,avoiding,évitant
7077,anticipate,anticiper
7078,expressions,expressions
7079,header,tête
7080,stresses,contraintes
7081,agreement,accord
7082,lined,doublé
7083,generations,générations
7084,tall,grand
7085,decides,décide
7086,between,entre
7087,nomura,nomura
7088,intentions,intentions
7089,ambassador,ambassadeur
7090,appearances,apparitions
7091,dressed,habillé
7092,bushels,boisseaux
7093,commented,commenté
7094,duration,durée
7095,endorsement,endossement
7096,figured,figuré
7097,vp,vp
7098,desert,désert
7099,concludes,conclut
7100,decree,décret
7101,bloody,sanglant
7102,cautioned,garde
7103,mothers,mères
7104,inquiries,enquêtes
7105,netbios,netbios
7106,indianapolis,indianapolis
7107,technicians,techniciens
7108,weather,temps
7109,instability,instabilité
7110,reacted,réagi
7111,elementary,élémentaire
7112,games,jeux
7113,dissident,dissident
7114,artillery,artillerie
7115,clearing,clairière
7116,shareware,shareware
7117,mess,mess
7118,reward,récompense
7119,diet,régime
7120,rounds,tours
7121,frustration,frustration
7122,treaty,traité
7123,rico,rico
7124,keith,keith
7125,acknowledges,reconnaît
7126,planted,planté
7127,degradation,dégradation
7128,autonomy,autonomie
7129,spreading,diffusion
7130,municipal,municipal
7131,ic,ic
7132,emphasize,souligner
7133,opera,opéra
7134,eventually,finalement
7135,relations,rapports
7136,holder,titulaire
7137,facility,facilité
7138,jane,jeanne
7139,credited,crédité
7140,palace,palais
7141,hate,haine
7142,bidders,soumissionnaires
7143,irradiated,irradié
7144,multiprocessing,multitraitement
7145,lasted,duré
7146,direct,direct
7147,sufficiently,suffisamment
7148,react,réagir
7149,abu,abu
7150,westinghouse,westinghouse
7151,dr,dr
7152,aged,vieilli
7153,indonesia,indonésie
7154,multivendor,multifournisseurs
7155,varies,varie
7156,boosting,stimuler
7157,two-dimensional,bidimensionnel
7158,expo,expo
7159,classic,classique
7160,20th,20
7161,lighting,éclairage
7162,crushed,écrasé
7163,trustee,administrateur
7164,freight,fret
7165,terrorists,terroristes
7166,distributing,distribution
7167,harsh,dur
7168,enthusiastic,enthousiaste
7169,distant,lointain
7170,reply,répondre
7171,marlin,marlin
7172,inspections,inspections
7173,olivetti,olivetti
7174,substances,substances
7175,cutbacks,compressions
7176,chemistry,chimie
7177,adequately,adéquatement
7178,burlington,burlington
7179,text,texte
7180,repay,rembourser
7181,coordinates,coordonnées
7182,neural,neural
7183,overhaul,révision
7184,celebration,célébration
7185,megabyte,mégaoctet
7186,tragedy,tragédie
7187,wildlife,faune
7188,translated,traduit
7189,sierra,sierra
7190,concedes,concède
7191,finland,finlande
7192,exported,exporté
7193,engineers,ingénieurs
7194,bureaucracy,bureaucratie
7195,slain,tué
7196,stems,tiges
7197,rings,anneaux
7198,survey,enquête
7199,slaying,terrassant
7200,crowds,foules
7201,militants,militants
7202,nuclei,noyaux
7203,venezuela,venezuela
7204,neil,neil
7205,arbitrary,arbitraire
7206,cupertino,cupertino
7207,deliveries,livraisons
7208,handy,pratique
7209,arnold,arnold
7210,stearns,stearns
7211,maj,maj
7212,listening,écoute
7213,accelerate,accélérer
7214,dynamics,dynamique
7215,clinic,clinique
7216,denmark,danemark
7217,falls,chutes
7218,lady,dame
7219,protective,protecteur
7220,bakker,bakker
7221,wounds,plaies
7222,prohibited,interdit
7223,celebrated,célèbre
7224,europeans,européens
7225,fax,fax
7226,intuitive,intuitif
7227,fish,poisson
7228,revolutionary,révolutionnaire
7229,erosion,érosion
7230,complement,complément
7231,vendor,vendeur
7232,hanover,hanovre
7233,rate,taux
7234,wedding,mariage
7235,injuring,blessant
7236,comfort,confort
7237,ups,ups
7238,andersen,andersen
7239,draws,attire
7240,merit,mérite
7241,nobody,personne
7242,topped,surmonté
7243,imminent,imminent
7244,spencer,spencer
7245,ls,ls
7246,surrender,capitulation
7247,milan,milan
7248,nobel,nobel
7249,abilities,capacités
7250,crossing,traversée
7251,monetary,monétaire
7252,demonstrates,démontre
7253,deleted,supprimé
7254,mirror,miroir
7255,associations,associations
7256,lasers,lasers
7257,alloys,alliages
7258,motivated,motivé
7259,transform,transformer
7260,cancel,annuler
7261,accumulated,accumulé
7262,insured,assuré
7263,michel,michel
7264,awareness,conscience
7265,practically,pratiquement
7266,flash,flash
7267,releasing,libération
7268,powell,powell
7269,forests,forêts
7270,bradley,bradley
7271,probation,probation
7272,leverage,influence
7273,breakthrough,percée
7274,alliances,alliances
7275,encounter,rencontre
7276,details,détails
7277,electronically,électronique
7278,feeding,alimentation
7279,bay,baie
7280,mario,mario
7281,income,revenu
7282,riding,équitation
7283,bug,insecte
7284,seismic,sismique
7285,download,télécharger
7286,warns,avertit
7287,relay,relais
7288,volatility,volatilité
7289,coupling,accouplement
7290,query,question
7291,episode,épisode
7292,locking,verrouillage
7293,final,finale
7294,simulate,simuler
7295,activated,activé
7296,irm,irm
7297,packaged,emballé
7298,exempt,exempt
7299,calculating,calcul
7300,strengthened,renforcé
7301,multinational,multinational
7302,slid,glissé
7303,provider,fournisseur
7304,asserted,affirmé
7305,edges,bords
7306,clones,clones
7307,toys,jouets
7308,rochester,rochester
7309,sodium,sodium
7310,care,soins
7311,valdez,valdez
7312,presumably,probablement
7313,fueled,alimentée
7314,jurisdiction,juridiction
7315,deutsche,deutsche
7316,equals,égaux
7317,attacking,attaquer
7318,troop,troupe
7319,bunch,bouquet
7320,80s,80
7321,prevents,empêche
7322,coordination,coordination
7323,salinas,salinas
7324,cga,cga
7325,conversations,conversations
7326,global,mondial
7327,aided,assistée
7328,panic,panique
7329,milwaukee,milwaukee
7330,ppm,ppm
7331,focus,foyer
7332,distinction,distinction
7333,breast,sein
7334,naming,appellation
7335,invitation,invitation
7336,gamma,gamma
7337,approximation,approximation
7338,constitute,constituer
7339,advocate,avocat
7340,thorough,approfondi
7341,thornburgh,thornburgh
7342,craft,artisanat
7343,training,formation
7344,vegetables,légumes
7345,limited,limité
7346,rallies,rassemblements
7347,madrid,madrid
7348,dissidents,dissidents
7349,nickel,nickel
7350,totals,totaux
7351,completing,remplissant
7352,conglomerate,conglomérat
7353,mae,mae
7354,pad,tampon
7355,drawback,inconvénient
7356,genes,gènes
7357,equilibrium,équilibre
7358,town,ville
7359,likelihood,probabilité
7360,influential,influent
7361,malaysia,malaisie
7362,clip,agrafe
7363,campaigning,campagne
7364,invention,invention
7365,le,le
7366,disappointment,déception
7367,airplanes,avions
7368,tennis,tennis
7369,signature,signature
7370,pride,fierté
7371,lows,bas
7372,psychological,psychologique
7373,buyers,acheteurs
7374,envelope,enveloppe
7375,skill,compétence
7376,inspectors,inspecteurs
7377,obstacle,obstacle
7378,asylum,asile
7379,true,vrai
7380,honest,honnête
7381,neighborhoods,quartiers
7382,eighth,huitième
7383,sas,sas
7384,certified,agréé
7385,children,enfants
7386,insufficient,insuffisant
7387,fortunately,heureusement
7388,sweet,doux
7389,restructure,restructurer
7390,representatives,représentants
7391,max,max
7392,wanting,vouloir
7393,admission,admission
7394,insurer,assureur
7395,surveillance,surveillance
7396,grave,grave
7397,nashville,nashville
7398,coordinator,coordinateur
7399,timely,opportun
7400,lakes,lacs
7401,asbestos,amiante
7402,simulations,simulations
7403,barclays,barclays
7404,festival,festival
7405,fidelity,fidélité
7406,love,aimer
7407,make,faire
7408,computed,calculé
7409,greeted,accueillis
7410,fair,juste
7411,marxist,marxiste
7412,detectors,détecteurs
7413,orlando,orlando
7414,terminated,fin
7415,sky,ciel
7416,wholly,entièrement
7417,quality,qualité
7418,z,z
7419,wires,fils
7420,drinks,boissons
7421,organizers,organisateurs
7422,favour,favoriser
7423,inserted,inséré
7424,companion,compagnon
7425,advise,conseiller
7426,necessity,nécessité
7427,appreciation,appréciation
7428,beneficial,avantageux
7429,volunteer,bénévole
7430,stationed,poste
7431,restoration,restauration
7432,compile,compiler
7433,reiterated,réitéré
7434,spoken,parlé
7435,mason,maçon
7436,rick,meule
7437,triple,triple
7438,cdc,cdc
7439,pie,tarte
7440,achievement,réalisation
7441,outer,extérieur
7442,keystrokes,frappes
7443,truce,trêve
7444,crazy,fou
7445,extract,extrait
7446,activation,activation
7447,radicals,radicaux
7448,centre,centre
7449,isa,isa
7450,kid,enfant
7451,paramount,primordial
7452,laserwriter,laserwriter
7453,debris,débris
7454,oxidation,oxydation
7455,analyzing,analyse
7456,riots,émeutes
7457,anxious,anxieux
7458,nose,nez
7459,prompting,incitation
7460,stiff,raide
7461,lesser,moindre
7462,consequence,conséquence
7463,standardized,normalisée
7464,removable,amovible
7465,ti,ti
7466,nights,nuits
7467,callers,appelants
7468,dayton,dayton
7469,partition,partition
7470,restriction,restriction
7471,acceleration,accélération
7472,overturned,renversé
7473,reflection,réflexion
7474,alleges,allègue
7475,chassis,châssis
7476,mate,mat
7477,chile,chili
7478,platinum,platine
7479,infant,nourrisson
7480,lima,lima
7481,marginal,marginal
7482,simmons,simmons
7483,ind,ind
7484,already,déjà
7485,oversee,superviser
7486,policemen,policiers
7487,ounces,once
7488,spelling,orthographe
7489,divide,diviser
7490,rats,rats
7491,eventual,éventuelle
7492,charity,charité
7493,positioning,placement
7494,narrowed,rétréci
7495,communication,communication
7496,out,dehors
7497,paste,pâte
7498,leases,baux
7499,refined,raffiné
7500,notable,notable
7501,witter,witter
7502,nothing,rien
7503,elegant,élégant
7504,bt,bt
7505,sydney,sydney
7506,couples,couples
7507,scans,scans
7508,midday,midi
7509,aircraft,avion
7510,90s,90
7511,trick,astuce
7512,saatchi,saatchi
7513,ammunition,munitions
7514,ms,mlle
7515,durable,durable
7516,messrs,mm
7517,persuaded,persuadé
7518,transferring,transfert
7519,regulated,réglementé
7520,stuart,stuart
7521,memorial,mémorial
7522,sad,triste
7523,configure,configurer
7524,unhappy,malheureux
7525,evolved,évolué
7526,speculative,spéculatif
7527,organizing,organisation
7528,fisher,pêcheur
7529,sustain,soutenir
7530,rebuild,reconstruire
7531,containers,conteneurs
7532,similar,similaire
7533,scratch,rayure
7534,pensions,pensions
7535,clarke,clarke
7536,full,plein
7537,transient,transitoire
7538,wary,prudent
7539,console,console
7540,acute,aigu
7541,tightly,fermement
7542,incorporating,incorporation
7543,denying,niant
7544,transformed,transformé
7545,circles,cercles
7546,main,principal
7547,defending,défendre
7548,decreases,diminue
7549,alike,même
7550,foley,foley
7551,intelligent,intelligent
7552,customs,douane
7553,ala,ala
7554,farming,agriculture
7555,speculated,spéculé
7556,illustrates,illustre
7557,postal,postal
7558,simplified,simplifié
7559,glad,heureux
7560,armenian,arménien
7561,conventions,conventions
7562,shrinking,contraction
7563,quantitative,quantitatif
7564,tektronix,tektronix
7565,nine,neuf
7566,birmingham,birmingham
7567,persistent,persistant
7568,expenditure,dépense
7569,exceptional,exceptionnel
7570,faults,défauts
7571,palace,palais
7572,airbus,airbus
7573,jacobs,jacobs
7574,plc,plc
7575,usair,usair
7576,farmer,agriculteur
7577,utilize,utiliser
7578,christians,chrétiens
7579,conservatives,conservateurs
7580,attendants,préposés
7581,mccarthy,mccarthy
7582,wisdom,sagesse
7583,politician,politicien
7584,oscar,oscar
7585,jewelry,bijoux
7586,richardson,richardson
7587,phone,téléphone
7588,benchmarks,repères
7589,suspicion,suspicion
7590,ensuring,assurer
7591,bbc,bbc
7592,cholesterol,cholestérol
7593,agricultural,agricole
7594,clarify,clarifier
7595,end,fin
7596,exceeding,dépassement
7597,delegate,délégué
7598,tighter,serré
7599,shutdown,fermer
7600,multiprocessor,multiprocesseur
7601,mount,monture
7602,pumps,pompes
7603,subjected,soumis
7604,indirect,indirect
7605,mesa,mesa
7606,printer,imprimeur
7607,retains,conserve
7608,publishes,publie
7609,backs,dos
7610,thoroughly,complètement
7611,averaging,moyenne
7612,spur,éperon
7613,pierce,percer
7614,timetable,calendrier
7615,individually,individuellement
7616,journey,voyage
7617,rule,règle
7618,chaos,chaos
7619,exceeds,dépasse
7620,arbitrage,arbitrage
7621,kg,kg
7622,un,onu
7623,powder,poudre
7624,depression,dépression
7625,ocr,ocr
7626,hezbollah,hezbollah
7627,growers,producteurs
7628,decent,décent
7629,deemed,réputée
7630,graduates,diplômés
7631,absorbed,absorbé
7632,pope,pape
7633,sympathy,sympathie
7634,architect,architecte
7635,form,forme
7636,fills,remplissages
7637,bull,taureau
7638,wheel,roue
7639,genuine,authentique
7640,median,médiane
7641,undergoing,subissant
7642,setback,revers
7643,ux,ux
7644,relate,rapporter
7645,cuomo,cuomo
7646,incompatible,incompatible
7647,denounced,dénoncé
7648,hell,enfer
7649,hourly,horaire
7650,retiring,sortant
7651,kent,kent
7652,options,options
7653,silent,silencieux
7654,ac,ac
7655,boasts,vante
7656,reference,référence
7657,architectural,architectural
7658,unavailable,indisponible
7659,spectroscopy,spectroscopie
7660,speaks,parle
7661,census,recensement
7662,chronic,chronique
7663,plots,parcelles
7664,apparatus,appareil
7665,lifting,levage
7666,ton,tonne
7667,gonzalez,gonzalez
7668,burns,brûlures
7669,communique,communiqué
7670,share,part
7671,lacked,manqué
7672,magic,magie
7673,masses,masses
7674,herald,héraut
7675,alfred,alfred
7676,moisture,humidité
7677,refinery,raffinerie
7678,stones,noyaux
7679,consolidate,consolider
7680,programmes,programmes
7681,wis,wis
7682,inheritance,héritage
7683,managers,gestionnaires
7684,portugal,portugal
7685,alloy,alliage
7686,deserves,mérite
7687,clearly,clairement
7688,trash,déchets
7689,profession,profession
7690,metropolitan,métropolitain
7691,elect,élu
7692,hanson,hanson
7693,keen,vif
7694,bbs,bbs
7695,deadly,mortel
7696,backups,sauvegardes
7697,nevertheless,cependant
7698,document,document
7699,suspend,suspendre
7700,workstation,workstation
7701,deficiency,carence
7702,alleging,alléguant
7703,marines,marines
7704,dos-based,dos
7705,fierce,féroce
7706,dirty,sale
7707,greene,greene
7708,agreeing,accord
7709,bowl,bol
7710,residual,résiduel
7711,textile,textile
7712,chamber,chambre
7713,exploring,explorer
7714,altos,altos
7715,joke,blague
7716,liquor,alcool
7717,enters,pénètre
7718,explicitly,explicitement
7719,eugene,eugene
7720,exchanged,échangées
7721,contemporary,contemporain
7722,exporters,exportateurs
7723,shelves,étagères
7724,humor,humour
7725,stopping,arrêt
7726,ins,ins
7727,ailing,difficulté
7728,shrink,rétrécir
7729,doctors,médecins
7730,rendering,interprétation
7731,militia,milice
7732,convictions,convictions
7733,grains,grains
7734,literally,littéralement
7735,electromagnetic,électromagnétique
7736,performers,artistes
7737,respected,respecté
7738,refund,remboursement
7739,cracks,fissures
7740,accountants,comptables
7741,royal,royal
7742,gl,gl
7743,implies,implique
7744,heterogeneous,hétérogène
7745,adjustable,réglable
7746,polling,vote
7747,consolidated,consolidé
7748,pictures,photos
7749,exercises,exercices
7750,skilled,qualifié
7751,taxable,imposable
7752,assignments,missions
7753,awkward,maladroit
7754,arbitration,arbitrage
7755,inc,inc
7756,tightening,contraction
7757,treatments,traitements
7758,hunger,faim
7759,refuses,refuse
7760,directive,directive
7761,incorrect,incorrect
7762,raids,raids
7763,meaningful,significative
7764,updating,réactualisation
7765,phenomena,phénomènes
7766,targeting,ciblage
7767,absorb,absorber
7768,refining,raffinage
7769,consider,envisager
7770,cycle,cycle
7771,intervals,intervalles
7772,bullets,balles
7773,continental,continental
7774,executable,exécutable
7775,celebrate,célébrer
7776,tune,mélodie
7777,cmos,cmos
7778,thoughts,pensées
7779,silence,silence
7780,tire,pneu
7781,apartments,appartements
7782,corrections,corrections
7783,mips,mips
7784,commerce,commerce
7785,televised,télévisée
7786,pointers,pointeurs
7787,coefficient,coefficient
7788,yitzhak,yitzhak
7789,rains,pluies
7790,uss,uss
7791,translates,traduit
7792,colony,colonie
7793,importing,importation
7794,geographic,géographique
7795,jazz,jazz
7796,hartford,hartford
7797,lake,lac
7798,dismiss,rejeter
7799,fatigue,fatigue
7800,clusters,groupes
7801,smoothly,doucement
7802,fortran,fortran
7803,sorry,désolé
7804,10th,10
7805,task,tâche
7806,mystery,mystère
7807,norwegian,norvégien
7808,adapted,adapté
7809,kit,trousse
7810,cics,cics
7811,mutual,mutuel
7812,gainers,gagnants
7813,integer,entier
7814,periodic,périodique
7815,humanitarian,humanitaire
7816,cheese,fromage
7817,60s,60
7818,mrs,mme
7819,revolt,révolte
7820,subtle,subtil
7821,lab,laboratoire
7822,helmut,helmut
7823,interchange,échange
7824,singer,chanteur
7825,retreated,reculé
7826,available,disponible
7827,seller,vendeur
7828,administered,administré
7829,charlotte,charlotte
7830,faction,faction
7831,cox,barreur
7832,prize,prix
7833,listings,annonces
7834,coleman,coleman
7835,princeton,princeton
7836,nominal,nominal
7837,advancing,avancer
7838,protested,protesté
7839,diagnostics,diagnostic
7840,tended,tendance
7841,transmissions,transmissions
7842,climbing,escalade
7843,phil,phil
7844,stroke,coup
7845,override,override
7846,infrared,infrarouge
7847,netview,netview
7848,mechanics,mécanique
7849,audiences,auditoires
7850,tampa,tampa
7851,sovereignty,souveraineté
7852,says,dit
7853,harassment,harcèlement
7854,prudential,prudential
7855,shanghai,shanghai
7856,redeem,racheter
7857,incumbent,titulaire
7858,monte,monte
7859,optical,optique
7860,loyalty,fidélité
7861,notification,notification
7862,attendance,fréquentation
7863,premature,prématuré
7864,pennzoil,pennzoil
7865,rescued,sauvé
7866,oral,oral
7867,laying,pose
7868,number,nombre
7869,posting,affectation
7870,bundle,empaqueter
7871,speculate,spéculer
7872,flowing,coulant
7873,mediterranean,méditerranée
7874,chambers,chambres
7875,supplement,supplément
7876,dipped,trempé
7877,drafting,préparation
7878,karen,karen
7879,harvey,harvey
7880,complaining,plainte
7881,criminals,criminels
7882,due,dû
7883,punitive,punitif
7884,settling,règlement
7885,evacuation,évacuation
7886,axis,axe
7887,supercomputers,superordinateurs
7888,counsel,avocat
7889,betting,pari
7890,poindexter,poindexter
7891,beds,lits
7892,distinguish,distinguer
7893,planners,planificateurs
7894,acquisition,acquisition
7895,edison,edison
7896,insiders,initiés
7897,founding,fondation
7898,tentatively,provisoirement
7899,anonymous,anonyme
7900,cumulative,accumulé
7901,federation,fédération
7902,laser,laser
7903,hazards,dangers
7904,thomson,thomson
7905,menu-driven,menus
7906,thai,thaï
7907,oxford,oxford
7908,date,date
7909,certainly,sûrement
7910,discounted,actualisés
7911,shocked,choqué
7912,tea,thé
7913,temperatures,températures
7914,ceausescu,ceausescu
7915,encryption,chiffrement
7916,annual,annuel
7917,termination,résiliation
7918,implements,outils
7919,mills,mills
7920,counterpart,homologue
7921,transplant,transplantation
7922,unacceptable,inacceptable
7923,obsolete,obsolète
7924,employing,employant
7925,arlington,arlington
7926,dragged,traîné
7927,runway,piste
7928,computation,calcul
7929,scroll,rouleau
7930,sinhalese,cinghalais
7931,mask,masquer
7932,detention,détention
7933,priest,prêtre
7934,pursued,poursuivi
7935,discovery,découverte
7936,filings,limailles
7937,microvax,microvax
7938,census,recensement
7939,anyone,personne
7940,swimming,natation
7941,spatial,spatial
7942,macweek,macweek
7943,shades,nuances
7944,adollars,adollars
7945,bondholders,obligataires
7946,classification,classification
7947,adp,adp
7948,hypertext,hypertexte
7949,accusing,accusant
7950,prohibit,interdire
7951,nyse,nyse
7952,courier,courrier
7953,hydraulic,hydraulique
7954,prague,prague
7955,dictator,dictateur
7956,regain,regagner
7957,woods,bois
7958,presently,actuellement
7959,gray-scale,gris
7960,dawn,aube
7961,circle,cercle
7962,forgotten,oublié
7963,plutonium,plutonium
7964,vacant,vacant
7965,secrets,secrets
7966,dubbed,doublé
7967,fence,clôture
7968,biotechnology,biotechnologie
7969,succeeding,réussir
7970,thrust,poussée
7971,gilbert,gilbert
7972,hierarchical,hiérarchique
7973,plagued,pestiféré
7974,disappear,disparaître
7975,moderately,modérément
7976,bcci,bcci
7977,sounded,sonné
7978,cry,pleurer
7979,depreciation,dépréciation
7980,et,et
7981,finishing,finition
7982,contention,contention
7983,atm,atm
7984,synchronous,synchrone
7985,heavy,lourd
7986,soaring,essor
7987,receipt,réception
7988,streams,ruisseaux
7989,solvent,solvant
7990,dots,points
7991,lisa,lisa
7992,ci,ci
7993,deposited,déposé
7994,policeman,policier
7995,underwent,subi
7996,sorting,tri
7997,capacities,capacités
7998,wolf,loup
7999,bryan,bryan
8000,imposing,imposant
8001,inspector,inspecteur
8002,diversified,diversifié
8003,edwin,edwin
8004,slashed,réduit
8005,sums,sommes
8006,molecules,molécules
8007,installation,installation
8008,spacing,espacement
8009,attraction,attraction
8010,legal,juridique
8011,imperial,impériale
8012,connection,lien
8013,prior,avant
8014,occasions,occasions
8015,cpus,cpu
8016,maria,maria
8017,comprise,comprendre
8018,internationally,internationalement
8019,oversight,surveillance
8020,cold,froid
8021,identifies,identifie
8022,ph,ph
8023,refuge,refuge
8024,stamp,timbre
8025,revive,relancer
8026,range,gamme
8027,harbor,port
8028,followers,suiveurs
8029,mohammed,mohammed
8030,adapt,adapter
8031,besides,outre
8032,offense,infraction
8033,mnp,mnp
8034,disadvantage,désavantage
8035,fancy,fantaisie
8036,powered,motorisé
8037,notices,avis
8038,economical,économique
8039,equity,Équité
8040,trap,piège
8041,wordstar,wordstar
8042,coefficients,coefficients
8043,facto,facto
8044,4gl,4gl
8045,desperate,désespéré
8046,pope,pape
8047,multiple,multiple
8048,dynamic,dynamique
8049,bearish,baissier
8050,visual,visuel
8051,herbert,herbert
8052,logo,logo
8053,recorders,enregistreurs
8054,anne,anne
8055,judged,jugé
8056,country,pays
8057,internally,intérieurement
8058,immunity,immunité
8059,buffalo,buffle
8060,discourage,décourager
8061,remember,rappeler
8062,sequential,séquentiel
8063,extradition,extradition
8064,objected,objecté
8065,utilized,utilisé
8066,tenure,tenure
8067,astronauts,astronautes
8068,outlet,sortie
8069,belongs,appartient
8070,rhetoric,rhétorique
8071,relied,compté
8072,johannesburg,johannesburg
8073,ski,ski
8074,obviously,Évidemment
8075,critic,critique
8076,often,souvent
8077,permitting,permettant
8078,gdp,pib
8079,afterward,après
8080,valve,soupape
8081,discrete,discret
8082,emergency,urgence
8083,retaliation,représailles
8084,reset,remettre
8085,consulting,consultant
8086,bomber,bombardier
8087,seminar,séminaire
8088,erupted,éclaté
8089,acquitted,acquitté
8090,jonathan,jonathan
8091,drum,tambour
8092,mouse,souris
8093,holmes,holmes
8094,redundant,redondant
8095,horses,chevaux
8096,supervision,surveillance
8097,lighter,briquet
8098,hdtv,hdtv
8099,prevention,prévention
8100,name,nom
8101,expert,expert
8102,blvd,blvd
8103,cole,cole
8104,usx,usx
8105,doug,doug
8106,drift,dérive
8107,carol,carol
8108,dimension,dimension
8109,coach,entraîneur
8110,seed,graine
8111,matsushita,matsushita
8112,multimedia,multimédia
8113,casey,casey
8114,interfere,interférer
8115,cds,cd
8116,invoked,invoquée
8117,hardware,matériel
8118,photograph,photographie
8119,tournament,tournoi
8120,tighten,serrer
8121,region,région
8122,tendered,soumissionné
8123,rice,riz
8124,auditors,vérificateurs
8125,carlo,carlo
8126,traffic,trafic
8127,voluntarily,volontairement
8128,camp,camp
8129,mills,moulins
8130,handles,poignées
8131,config,config
8132,fortune,fortune
8133,kits,kits
8134,strengthening,renforcement
8135,singh,singh
8136,seemingly,apparemment
8137,meters,mètres
8138,seasons,saisons
8139,stripped,dépouillé
8140,justification,justification
8141,foster,favoriser
8142,donaldson,donaldson
8143,attracting,attirer
8144,70s,70
8145,organisation,organisation
8146,spectacular,spectaculaire
8147,booth,cabine
8148,weakening,affaiblissement
8149,ensures,assure
8150,mar,mar
8151,martial,martial
8152,temple,temple
8153,fingers,doigts
8154,medellin,medellin
8155,bays,baies
8156,crystals,cristaux
8157,pin,goupille
8158,contracted,contracté
8159,tires,pneus
8160,circuitry,circuits
8161,portrait,portrait
8162,broadcasts,diffusions
8163,honored,honoré
8164,dismissal,congédiement
8165,spurred,stimulée
8166,calibration,étalonnage
8167,weighted,pondéré
8168,everex,everex
8169,armenia,arménie
8170,merits,mérites
8171,dancing,dansant
8172,relaxation,relaxation
8173,consisted,composée
8174,extensively,largement
8175,racing,courses
8176,1930s,1930
8177,russians,russes
8178,lithuanian,lituanien
8179,outright,carrément
8180,strikers,grévistes
8181,deductions,déductions
8182,cure,guérison
8183,wsj,wsj
8184,programmed,programmé
8185,uncertainties,incertitudes
8186,quotes,citations
8187,gates,portes
8188,danish,danois
8189,sacrifice,sacrifice
8190,backward,arriéré
8191,if,si
8192,xenix,xenix
8193,madison,madison
8194,bidder,soumissionnaire
8195,rehabilitation,réhabilitation
8196,chevron,chevron
8197,osha,osha
8198,abstract,résumé
8199,tears,larmes
8200,specially,spécialement
8201,dangers,dangers
8202,barring,sauf
8203,grass,herbe
8204,concentrating,concentrant
8205,19th,19
8206,century,siècle
8207,exhaust,échappement
8208,geared,orientée
8209,excitation,excitation
8210,pregnancy,grossesse
8211,kidnapping,enlèvement
8212,game,jeu
8213,proposed,proposé
8214,contingent,contingent
8215,injected,injectée
8216,micro,micro
8217,tribune,tribune
8218,floors,étages
8219,complexes,complexes
8220,rip,rip
8221,elite,élite
8222,bar,bar
8223,rifles,fusils
8224,armored,blindé
8225,plaza,place
8226,undergo,subir
8227,patricia,patricia
8228,half,moitié
8229,proportional,proportionnel
8230,monitor,moniteur
8231,gradual,graduel
8232,loses,perd
8233,hook,crochet
8234,jesus,jésus
8235,pumping,pompage
8236,absent,absent
8237,lawyers,avocats
8238,tail,queue
8239,averages,moyennes
8240,integrates,intègre
8241,butter,beurre
8242,executing,exécution
8243,decstation,decstation
8244,extremists,extrémistes
8245,clouds,nuages
8246,heritage,patrimoine
8247,vaccine,vaccin
8248,bilateral,bilatéral
8249,strategist,stratège
8250,automation,automation
8251,smalltalk,smalltalk
8252,deserve,mériter
8253,habits,habitudes
8254,o,o
8255,bancorp,bancorp
8256,seal,sceau
8257,devised,conçu
8258,performer,interprète
8259,ian,ian
8260,time-consuming,long
8261,convincing,convaincant
8262,iranians,iraniens
8263,kgb,kgb
8264,treasury,trésor
8265,everything,tout
8266,joan,joan
8267,tropical,tropical
8268,expelled,exclu
8269,luis,luis
8270,brush,brosse
8271,richter,richter
8272,cyprus,chypre
8273,privileges,privilèges
8274,compelling,irrésistible
8275,granting,octroi
8276,observe,observer
8277,shares,actions
8278,warfare,guerre
8279,iso,iso
8280,artistic,artistique
8281,questionable,discutable
8282,no,no
8283,tariff,tarif
8284,harrison,harrison
8285,span,envergure
8286,resolution,résolution
8287,specifies,précise
8288,collisions,collisions
8289,intervene,intervenir
8290,too,trop
8291,oh,oh
8292,lattice,treillis
8293,improper,incorrect
8294,backlog,arriéré
8295,withheld,retenu
8296,regulate,réglementer
8297,gay,gai
8298,stays,séjours
8299,relaxed,détendu
8300,copy,copie
8301,thank,merci
8302,ms,mlle
