francais,espanol
dominant,dominante
nuageux,nublado
API,API
surprenant,sorprendente
Concessionnaires,concesionarios
accouplé,acoplado
bombardement,bombardeo
salaires,salario
vaincu,derrotado
payeur,pagador
Jérusalem,Jerusalén
procéder,proceder
Kenneth,Kenneth
conditionnement,embalaje
accidents,accidentes
racial,racial
Pays-Bas,Países Bajos
répond,respuestas
climat,clima
identification,identificación
Terry,Terry
offensive,ofensiva
pur,puro
multi-utilisateur,multiusuario
Alexander,Alejandro
Peut Être,puede Ser
caractérisé,caracterizado
concessions,concesiones
Constitution,constitución
mini-ordinateurs,minicomputadoras
nier,negar
Anthony,Antonio
envoie,envía
mouvements,movimientos
Bibliothèque,biblioteca
modifié,modificado
intitulé,intitulado
Zénith,cenit
Cubain,cubano
adultes,adultos
Commandement,comando
examen,revisión
prêteurs,prestamistas
Travaux,construcción
Performance,rendimiento
tour,torre
incertain,incierto
sujets,temas
Sortie,salida
pompe,bomba
Ordinateurs,Computadoras
architectures,arquitecturas
interurbain,interurbano
inculpé,cargado
fermé,cerrado
Cleveland,Cleveland
horizontal,horizontal
Travail,Trabajo
rêver,soñar
éventuel,futuro
lumières,luces
crédits,créditos
garde,guardia
sat,sáb
à l'écran,pantalla
poussière,polvo
soutenu,apoyado
choisir,elegir
satisfaire,satisfacer
Académie,academia
Consommateur,consumidor
événement,evento
coopérative,cooperativa
subventions,subvenciones
Fred,Fred
enseignement,educación
mille,mil
prévisions,previsiones
interrogées,Los encuestados
fondamentalement,fundamentalmente
note,nota
révision,revisión
historique,histórico
exposition,exposición
Couleur,color
répondants,Los encuestados
réussit,exitoso
mois de,mes
extension,extensión
ADN,ADN
éliminant,eliminando
voisin,vecino
bons de souscription,Warrants
innocent,inocente
conception,diseño
novateur,innovador
se conformer,ajustarse
artificiel,artificial
politiquement,políticamente
bulletin,boletín
démissionner,dimitir
médecine,medicina
premier trimestre,primer trimestre
informé,informado
gardes,guardias
ralenti,ralentí
renforcer,fortalecer
uranium,uranio
Par,por
subordonnés,subordinados
ton,tono
8 bits,8 bits
jeta,lanzó
bétail,ganado
arrivée,llegada
bps,bps
coup,golpe
peu coûteux,barato
illimité,ilimitado
Orléans,Orleans
acquisition,adquisición
tir,disparo
potable,potable
navires,Embarcaciones
arrestations,arrestos
terres,tierra
réseau,red
déclenché,desencadenada
visite,visita
lisse,liso
jeunesse,juventud
croyance,creencia
réductions,descuentos
Eau,agua
câbles,cable
enterré,enterrado
Shamir,Shamir
parcelle,parcela
Bon,bueno
inscription,registro
spectres,fantasmas
oublier,olvidar
jeter,tirar a la basura
en vigueur,en vigor
réussi,exitoso
fourni,previsto
NB,NB
surveillé,monitoreado
circulation,circulación
Magazine,revista
styles,estilos
billion,trillón
Sachs,Sachs
domaine,zona
suggestions,sugerencias
détecter,detectar
Gordon,Gordon
vecteur,vector
CT,Connecticut
En haut,superior
variations,variaciones
largage,caída
ANSI,ANSI
peur,miedo
MVS,MVS
Autorité,autoridad
rassemblement,mitin
sauvage,salvaje
chaînes,cadenas
décrit,descrito
étagé,pisos
mathématique,matemático
essais,ensayos
universités,universidades
injection,inyección
analogique,analógico
identité,identidad
en colère,enojado
Margaret,Margaret
certainement,definitivamente
bâton,palo
terrain,suelo
léthargique,letárgico
Afghan,afgano
Patrick,Patricio
Instruments,instrumentos
avant impôts,antes de impuestos
Anneau,anillo
peau,piel
Md,Maryland
grade,grado
PageMaker,PageMaker
évaluer,evaluar
Hayes,Hayes
échange,intercambio
Marchés,mercados
répertoires,directorios
Roberts,Roberts
ultime,último
Khôl,kohl
goûts,gustos
déjeuner,desayuno
établissement,institución
Ventura,Ventura
Courant,corriente
poignée,manejar
troubles,disturbios
interprétation,interpretación
communément,comúnmente
Fujitsu,Fujitsu
trembler,temblar
considère,considera
Nicaraguayen,nicaragüense
nettoyer,limpiar
accepte,acepta
CO,Colorado
résolu,resuelto
gère,gestiona
passes,pases
se applique,aplica
Symphonie,sinfonía
manuels,manuales
engagé,comprometido
Suivant,siguiente
voisins,vecinos
barré,prohibido
mineurs,Los menores de edad
retenu,retenido
Prolongé,extendido
bois,madera
postes,mensajes
embaucher,contratar
Technique,técnica
CIA,CIA
preuve,prueba
Harceler,hostigar
proportion,proporción
analyser,analizar
Suédois,sueco
académique,académico
inondation,inundación
peu à peu,gradualmente
interne,interna
détenus,retenida
EDI,EDI
favorisé,favorecido
gravures,grabados
échappé,escapado
De HP,HP
Sam,Sam
injuste,injusto
rapport,informe
ions,iones
volatil,volátil
département de,departamento
Utilitaires,Utilidades
scanners,escáneres
parking,aparcamiento
roches,rocas
révéler,regalar
sénateur,senador
uniforme,uniforme
vulnérable,vulnerable
appel,apelación
personne,nadie
assorti,juego
flotte,flota
Robinson,Robinson
Connecticut,Connecticut
van,camioneta
exhortant,instando
éditeurs,editores
efficacité,eficacia
loué,alquilado
ANC,Congreso Nacional Africano
Télécommunications,Telecomunicaciones
traduction,traducción
horaires,horario
jour de,día
Qui,que
organique,orgánico
créatif,creativo
location,alquiler
merci,gracias
à peine,apenas
troisième trimestre,tercer trimestre
manipulation,manipulación
pixels,píxeles
LCD,LCD
danse,danza
Maxwell,Maxwell
Tony,tony
territoires,territorios
émerger,emerger
animation,animación
limitant,limitando
Rayon,pasillo
Ed,Ed
merveilleux,maravilloso
patron,jefe
publications,publicaciones
de gros,al por mayor
personnalisé,costumbre
publicité,publicidad
geler,congelar
Siemens,Siemens
marchandises,bienes
hauteur,altura
possibilités,potencial
Syrie,Siria
mises à jour,actualizaciones
Montana,Montana
centre,centro
répression,represión
esprit,espíritu
diffusion,radiodifusión
extrême,extremo
éthique,ética
budgets,presupuestos
suggérant,sugerencia
binaire,binario
monté,montado
conjonction,conjunción
classique,clásico
Steven,Steven
Las,cansado
récupération,recuperación
câblage,alambrado
Bruxelles,Bruselas
projections,proyección
candidat,candidato
valide,válido
se élève,se eleva
marques,marcas
lettres,cartas
bloquer,bloque
peinture,pintura
incertain,incierto
sensibilité,sensibilidad
filtre,filtro
Musée,museo
essais,ensayos
justifier,justificar
hasardeux,peligroso
migration,migración
Carl,Carl
une fois,una vez
frères,hermanos
dévoué,dedicado
monde entier,mundo
Idaho,Idaho
Hypothèque,hipoteca
Norton,Norton
fusée,cohete
homme d'affaires,hombre de negocios
philosophie,filosofía
éprouvé,experimentado
ampleur,magnitud
Dell,Dell
chemin de fer,rail
filles,Chicas
cristal,cristal
dessins,dibujos
Citicorp,Citicorp
redouté,temido
Giants,Gigantes
lit,cama
ajustement,ajuste
interrompre,interrumpir
Portes,Puertas
portions,porciones
Conservateur,conservador
marqué,marcado
aux femmes,de las mujeres
Communistes,comunistas
facturation,facturación
dérangé,trastornado
intensité,intensidad
Jesse,Jesse
chansons,canciones
séparé,separado
tour,torre
Libanais,libanés
plaque,placa
Politique,político
Autoroute,autopista
Logement,viviendas
enceinte,embarazada
calculer,calcular
D'exploitation,operativo
Nevada,Nevada
sujets,temas
Israéliens,israelíes
Grecque,griego
Shultz,Shultz
Sept,siete
méthodologie,metodología
ajuster,ajustar
Écosse,Escocia
diminué,disminuido
décrivant,describiendo
contesté,disputado
Dakota,Dakota
limites,limitaciones
titres,valores
Si,si
droit d'auteur,derechos de autor
spécialité,especialidad
Mitsubishi,Mitsubishi
chiens,perros
traité,procesado
ascendant,ascendente
Phillips,Phillips
Aujourd'hui,hoy
de banlieue,suburbano
minuit,medianoche
Europe,Europa
meubles,muebles
Hutton,Hutton
Plan,plan
désert,desierto
intelligent,inteligente
luxe,lujo
notant,señalando
formatage,Formateo
USDA,USDA
Hier,ayer
appel,apelación
Gratuit,libre
toxique,tóxico
Station,estación
ralentissez,ve más despacio
accélérateur,acelerador
nord-est,nordeste
discute,discute
charges,cargas
Bancaire,banca
silicium,silicio
marasme,depresión
Kentucky,Kentucky
Vieux,viejo
coups,tiros
vitesse,velocidad
arme,arma
malade,enfermo
Droit,derecho
artiste,artista
rangées,filas
Utilisation,uso
stand-alone,autónomo
blancs,blancos
cycles,ciclos
excessif,excesivo
Supplémentaire,adicional
mensonge,acostado
Salvador,Salvador
Berkeley,Berkeley
se,sí mismo
adressage,direccionamiento
Donné,dado
Spectacle,show
Remarques,observaciones
rencontré,conocido
Baltimore,Baltimore
négocier,negociar
sentiment,sentimiento
interviewé,entrevistado
Tchécoslovaquie,Checoslovaquia
jets,chorros
approché,enfoque
Adjoint,asistente
réacteurs,Reactores
thrifts,cajas de ahorro
assuré,asegurado
dépassé,anticuado
ménage,casa
point,punto
limite,límite
concurrent,competidor
bœuf,carne de res
Sunnyvale,Sunnyvale
au sud-est,sudeste
informatisé,computerizado
deuxième trimestre,segundo trimestre
Bande,tira
Parfois,a veces
personne,nadie
nerveux,nervioso
gelé,congelado
Ada,Ada
Vegas,Vegas
terroriste,terrorista
concentré,concentrado
différends,Disputas
Elizabeth,Elizabeth
chanson,canción
De base,básico
suite,suite
responsabilités,responsabilidades
Fenêtre,ventana
consultatif,asesor
dictionnaire,diccionario
moyeu,cubo
cartouches,cartuchos
simultané,simultáneo
caution,depósito
Éditeur,editor
IT,informática
Télévision,TV
rappels,Recordatorios
jeté,lanzado
conduite,conducción
promotion,promoción
pacifique,pacífico
qualifié,calificado
touristes,turistas
considérations,consideraciones
thérapie,terapia
batteries,batería
gallon,galón
banquier,banquero
Oakland,Oakland
partiellement,parcialmente
Tôt,temprano
Guide,guía
Montréal,Montreal
Normand,normando
nettoyage,limpieza
Alabama,Alabama
conflits,conflictos
sac,bolsa
Famille,familia
Appel,apelación
Commercial,Representante De Ventas
négociateurs,Los negociadores
explosion,explosión
déchets,residuos
Ontario,Ontario
restaurée,restaurada
ainsi,así
modification,modificación
Meese,Meese
vacances,fiesta
verdict,veredicto
précis,específico
soleil,sol
sort,destino
largeur,ancho
informatisé,computerizado
non identifié,no identificado
plafond,techo
dépit,despecho
Bennett,Bennett
collé,pegado
constitué,arriba
goût,sabor
Panaméen,panameño
Entrer,entrar
participant,partícipe
Philips,Philips
Téhéran,Teherán
campagnes,campañas
3D,3D
Ron,Ron
passage,pasaje
bande passante,ancho de banda
commettre,cometer
montagne,montaña
désireux,ansioso
Lettres,cartas
HUD,HUD
Laver,lavado
Radiodiffusion,radiodifusión
a atterri,aterrizado
nous-mêmes,nosotros mismos
sacs,bolsas
bordé,bordeada
Cincinnati,Cincinnati
ignorer,pasar por alto
volé,robado
transparent,transparente
toit,techo
Code,código
obligatoire,obligatorio
Londres de,Londres
insiste,insiste
pratique,práctica
frais,fresco
notion,noción
résolutions,Resoluciones
mars,marzo
bombes,bombas
affectant,afectando
discuter,discutir
points de vente,puntos de venta
sixième,sexto
surfaces,superficies
Syrien,Siria
apprécié,apreciado
correctement,correctamente
incidents,incidentes
disparu,que falta
richesse,riqueza
manipuler,manejar
préservation,preservación
GAO,GAO
Delaware,Delaware
Rose,rosa
enquêtes,Investigaciones
haute performance,High Performance
GSA,GSA
fort,fuerte
quelqu'un,alguien
admettre,admitir
exprimer,expresar
obligatoire,obligatorio
réaliste,realista
Evans,Evans
longtemps,mucho tiempo
six mois,seis meses
os,hueso
terre,tierra
émotionnel,emocional
produits,Productos
assister,asistir
GUI,GUI
Supports,apoyos
à carreaux,comprobado
mandat,mandato
absolu,absoluto
boisson,bebida
préserver,preservar
accédé,visitada
révision,revisión
visualisation,visualización
Apollon,Apolo
Cruz,Cruz
Trésor de,tesoro
antitrust,antimonopolista
flux,fluir
Token-Ring,Token-Ring
Marshall,Marshall
salle,habitación
marche,marcha
Airways,Airways
robuste,robusto
Etes-,son-
rôles,papeles
Kremlin,Kremlin
défauts,defectos
législateurs,legisladores
Hitachi,Hitachi
nouveau,nuevo
Robertson,Robertson
radar,radar
plaindre,quejarse
Colombie,Colombia
en ligne,en línea
Dix,diez
instrument,instrumento
De Novell,Novell
machinerie,maquinaria
volontaire,voluntario
évaluer,evaluar
soudain,de repente
amer,amargo
évincé,derrocado
tension,voltaje
adulte,adulto
Premier,primero
initié,iniciado
nord-ouest,noroeste
Opération,operación
menaçant,amenazante
erreurs,errores
anciens combattants,Veteranos
handicapé,discapacitado
neutre,neutral
de liaison,conexión
approuvé,aprobado
décevant,decepcionante
abonnés,suscriptores
ralentissement,deceleración
Craig,Craig
scrutin,votación
plaine,llanura
début,comienzo
immunitaire,inmune
microprocesseurs,microprocesadores
AD,AD
modulaire,modular
aller,ir
introduction,introducción
hangar,hangar
bulletin,boletín
Wayne,Wayne
doutes,dudas
aluminium,aluminio
DECnet,DECnet
employer,uso
Pont,puente
funérailles,funeral
satisfaisant,satisfactorio
ligue,liga
McDonnell,McDonnell
utilisation,uso
enlever,quitar
gène,gene
prix,precio
Corps,cuerpo
Vol,vuelo
référendum,referéndum
Unité,unidad
Médias,medios de comunicación
consolidation,consolidación
acceptant,aceptar
humeur,humor
De Sun,sol
Officier,oficial
Hawaii,Hawai
Clinton,Clinton
infrastructure,infraestructura
fusionné,fusionado
attente,espera
passionnant,emocionante
Presque,casi
Nord-est,Nordeste
Newsbytes,Newsbytes
viable,viable
Dave,de Dave
pari,apuesta
référer,remitir
Chêne,roble
constamment,constantemente
double,doble
suspects,sospechosos
résultats,resultados
Sandiniste,sandinista
chaque fois que,siempre que
compilateurs,Los compiladores
enseigné,enseñado
mer,mar
ratios,relaciones
reste,resto
Chasse,caza
décider,decidir
Musulmans,musulmanes
1er,1
proposer,proponer
Eltsine,Yeltsin
compare,comparar
souche,tensión
sévèrement,severamente
cartographie,cartografía
profondément,profundamente
maturité,madurez
mise en scène,puesta en escena
Sullivan,Sullivan
Kim,Kim
flottant,flotante
unique,único
quotas,cuotas
récolte,cosecha
Analyse,análisis
Machines,máquinas
remplissage,relleno
anniversaire,aniversario
photographies,fotografías
plus difficile,más difícil
Ann,Ana
confirmation,confirmación
Jeton,simbólico
riz,arroz
Voir,vista
consolidé,consolidado
signature,firma
Adams,Adams
Minneapolis,Minneapolis
paquets,Paquetes
Albert,Albert
mature,maduro
rush,prisa
Ni,ni
enseigner,enseñar
visites,visitas
NOUVEAU,NUEVO
Medicare,Medicare
effacer,borrar
sujet,tema
soutenu,apoyado
analytique,analítico
gallons,galones
refuser,rechazar
location,alquiler
valeur ajoutée,valor agregado
compte,cuenta
taches,puntos
insister,insistir
suspension,suspensión
corrélation,correlación
fiche,enchufe
indicateur,indicador
détruire,destruir
quantité,cantidad
D'or,dorado
colonne vertébrale,espina
Remarque,nota
tonnes,montones
pénuries,escasez
cadres,personal dirigente
Carlos,Carlos
physique,físico
indicateurs,indicadores
barrière,barrera
commissaire,comisionado
publier,publicar
dimensions,dimensiones
louer,renta
persuader,persuadir
Mémoire,memoria
alors que,mientras
phases,fases
courant dominant,corriente principal
Sprint,sprint
Canada,Canadá
affrontements,enfrentamientos
infecté,infectado
vue,vista
OTC,OTC
Libéral,liberal
ambitieux,ambicioso
formules,fórmulas
email,correo electrónico
échantillonnage,muestreo
EGA,EGA
paragraphe,sección
Rouge,rojo
faciliter,facilitar
de temps en temps,de vez en cuando
institut,instituto
efficacement,eficazmente
découverte,descubrimiento
tarifs,tasas
emballé,empacado
détenu,detenido
initié,iniciado
empêché,impedido
traité,procesado
régulièrement,regularmente
confirmé,confirmado
téléphones,móviles
diplomate,diplomático
évité,evitado
tissu,paño
Lloyd,Lloyd
composé,arreglado
en cours,en curso
mental,mental
Argentine,Argentina
raide,empinado
assouplissement,relajación
répliqua,respondió
Walesa,Walesa
déchirer,dep
entreprises,negocios
racine,raíz
Murphy,Murphy
déclaration,declaración
récupérer,recuperar
4e,cuarto
jointoiement,apuntando
allocation,asignación
Fe,Fe
jambe,pierna
tridimensionnel,tridimensional
propose,las ofertas
précieux,precioso
réfugié,refugiado
hélicoptères,Helicópteros
gagnants,ganadores
permettant,a
Loin,Muy Lejos
connecteur,conector
moral,moral
sel,sal
trace,rastro
Indiens,indios
hôtes,desayuno
atomique,atómico
Iran-Contra,Irán-Contra
golf,golf
raisonnablement,razonablemente
sans précédent,sin precedentes
Câble,cable
variable,variable
Kevin,Kevin
studio,estudio
requêtes,consultas
carburants,combustibles
beau,bien parecido
rejeter,desechar
personnellement,personalmente
assureurs,Las aseguradoras
absorption,absorción
Interne,interna
LET,LET
laboratoire,laboratorio
toujours,siempre
dBase,dBase
victimes,bajas
procuration,poder legal
Objet,objeto
pauvrement,mal
scénario,guión
les hommes d'affaires,empresarios
application,aplicación
octet,byte
Branche,Hipster
employeur,empleador
Chris,Chris
jaune,amarillo
actions,valores
comportement,comportamiento
Plains,llanuras
illégalement,ilegalmente
malade,enfermo
par la suite,después de eso
Tandy,Tandy
relations,relación
annonces,anuncios
quelque part,en alguna parte
Alliance,alianza
Image,imagen
Gris,gris
bondé,lleno de gente
catalogue,catálogo
Recherches,investigación
modifier,cambio
Banques,Bancos
détecteur,detector
modifications,modificaciones
plongeon,inmersión
symboles,símbolos
équipages,Crews
pauvreté,pobreza
substance,sustancia
pompiers,cuerpo de bomberos
explorer,explorar
de location,alquiler
étonnement,asombro
b,b
soldat,soldado
poumon,pulmón
Rapports,relaciones
haute résolution,alta resolución
conversation,conversación
Edwards,Edwards
languette,lengua
vieillissement,envejecimiento
virus,virus
aimé,amado
définitions,definiciones
protéine,proteína
instruments à cordes,cuerdas
Sgt.,Sgt.
facilement,fácilmente
Environnement,medio ambiente
pop,música pop
renversé,revertido
intermédiaire,intermedio
trois mois,tres meses
répondu,contestado
Lambert,Lambert
Réglementation,regulación
Allié,aliado
IEEE,IEEE
suicide,suicidio
Cheney,Cheney
faible,bajo
corps législatif,legislatura
Iran,Irán
haute qualité,alta calidad
Tour,torre
Aldus,Aldus
vide,vacío
destruction,destrucción
déposition,declaración
main,mano
gâchette,gatillo
comédie,comedia
Brady,Brady
incorpore,incorpora
Motif,patrón
crédibilité,credibilidad
AST,AST
Membres,miembro
préférence,preferencia
conclusions,conclusiones
divers,vario
pressé,planchado
balise,faro
immigrés,inmigrantes
biologique,biológico
milliards,billón
impressionné,impresionado
téléspectateurs,audiencia
technologie de pointe,alta tecnología
renforcement,fortalecimiento
OEM,OEM
Feu,fuego
puits,bien
elle est,ella es
SCO,SCO
clubs,clubes
témoigner,testificar
meurtres,asesinatos
fits,ataques
De même,igualmente
comtés,condados
porte,puerta
adjacent,adyacente
-Zélande,Zelandia
Vous seriez,Usted sería
violer,violación
pointe,punta
séquences,secuencias
remarqué,nota
différer,diferir
prendre sa retraite,retirarse
prévision,pronóstico
protéger,proteger
trous,agujeros
légitime,legítimo
inutile,innecesario
délivrance,liberación
moléculaire,molecular
entouré,rodeado
jurés,jurado
partenariats,Asociaciones
remarquable,notable
équipement,equipo
variation,variación
rester,quedarse
importance,importancia
priorités,prioridades
troubles,disturbios
Portland,Portland
adapté,adecuado
Base de données,Base de datos
Droits,Derechos
Personnel,personal
ajustements,ajustes
accueilli,bienvenida
Cray,Cray
Aquino,Aquino
retiré,retirado
cm,cm
Rome,Roma
distinct,separado
2e,segundo
Arkansas,Arkansas
instructions,instrucciones
intérieur,dentro
numérisée,escaneada
résidence,residencia
oxyde,óxido
Angola,Angola
excité,emocionado
pétrolier,petrolero
Nasdaq,Nasdaq
corrosion,corrosión
voyages,de viaje
définit,define
connaissance,conocimiento
répétition,repetición
Disque,disco
Monture,monte
promu,promovido
Peu,poco
de rechange,de repuesto
jauge,calibre
foie,hígado
Nancy,Nancy
tensions,tensiones
alarme,alarma
maladies,enfermedades
clients,cliente
commande,orden
tactique,táctico
Des banquiers,Banqueros
revendeur,comerciante
tumeur,tumor
fusions,fusiones
Édition,edición
militant,activista
D'accord,OKAY
balayage,tomografía
Costa,Costa
montée,subir
Paix,paz
cueillette,recolección
gaz,gas
passerelles,Gateways
IRA,IRA
courbes,curvas
avertissements,advertencias
Palestine,Palestina
Manuel,manual
Douane,aduana
orientation,orientación
conformité,conformidad
Argent,dinero
d'enfant,bebé
Action,acción
Entre États,interestatal
imaginer,imaginar
Burnham,Burnham
minimiser,minimizar
objectifs,metas
Socialiste,socialista
poitrine,pecho
financés,financiado
Milken,Milken
Futures,futuros
commercialisé,comercializado
sud-ouest,suroeste
périphérique,periférico
embargo,embargo
inattendu,inesperado
impulsion,pulso
jeunes,juventud
frappe,huelga
Amendement,enmienda
manquer,señorita
durée de vie,vida
Perez,Pérez
élève,estudiante
dû,debido
AIX,AIX
convaincre,convencer
impression,impresión
phrases,frases
terrorisme,terrorismo
qualifier,calificar
dépôt,depósito
trains,trenes
répondre,responder
botte,bota
Bundesbank,Bundesbank
cas,caso
observations,observaciones
obligations,obligaciones
Comdex,Comdex
Portable,portátil
Domaine,zona
automobile,automóvil
formation,entrenamiento
aile,ala
RS,RS
Zurich,Zurich
lecteur,lector
déclenché,desencadenada
Pierre,piedra
Cambodge,Camboya
Tapoter,grifo
à venir,próximamente
émeute,motín
inévitable,inevitable
réélection,reelección
précisément,precisamente
sommeil,sueño
ralentissement,deceleración
Sandinistes,sandinistas
strict,estricto
induite,inducido
Nous allons,Lo haremos
monopole,monopolio
occupation,ocupación
Lien,enlace
Garenne,madriguera
victoires,victorias
implémentations,Implementaciones
Manille,Manila
opéra,ópera
bien connu,bien conocido
Lituanie,Lituania
amende,multa
Samuel,Samuel
Puerto,Puerto
Christopher,Christopher
Du,desde
saisonnière,estacional
performances,rendimiento
Coquille,Vieira
enthousiasme,entusiasmo
Roseau,caña
porc,cerdo
Belgique,Bélgica
A de,la
Campeau,Campeau
banlieue,suburbio
le commerce de détail,venta al por menor
palette,paleta
vérification,verificación
qui est,que es
gens,gente
loué,alquilado
Ultrix,Ultrix
bateaux,barcos
engagements,Compromisos
midi,mediodía
entraîneur,entrenador
Toyota,Toyota
interprété,interpretado
placement,inversión
cadeau,regalo
batailles,batallas
Avoir,para Ver
Rock,roca
coopérer,cooperar
achats,Las compras
hospitalisé,hospitalizado
Kelly,Kelly
tableaux,pinturas
Commissaire,Comisionado
AutoCAD,AutoCAD
chanteur,cantante
marchandage,negociación
balayé,barrido
défenseurs,defensores
Hamilton,Hamilton
commodité,conveniencia
NYSE de,bolsa de Nueva York
angle,ángulo
Cas,caso
Montgomery,Montgomery
Vienne,Viena
Récent,reciente
Virginie,Virginia
ordinateurs portables,laptops
soins,cuidado
Au sud-est,Sudeste
Chevardnadze,Shevardnadze
admet,admite
AI,AI
index,índice
D',D '
entité,entidad
fusion,fusión
clic,clic
Postal,postal
possession,posesión
aliments,productos alimenticios
arrêté,detenido
financé,financiado
tend,tiende
dépenses,gasto
Fédération,federación
entités,entidades
juges,jueces
bénévoles,voluntarios
Stewart,Stewart
immigration,inmigración
interopérabilité,interoperabilidad
1950,1950
oiseaux,aves
Rogers,Rogers
Graham,Graham
Colomb,Colón
cigarette,cigarrillo
la mise à niveau,modernización
cendre,ceniza
Fed,Fed
restreindre,restringir
CompuServe,CompuServe
il avait,él
Argent,dinero
Koweïtien,kuwaití
relative,en
hypothèse,hipótesis
calme,calma
maladie,enfermedad
ventilateur,ventilador
prédécesseur,predecesor
défensive,defensiva
diagnostic,diagnóstico
Cohen,Cohen
Ruisseau,arroyo
reporté,pospuesto
son exécution,guiones
évident,obvio
souscripteurs,suscriptores
sélectionnée,seleccionado
personnes de,gente
rugueux,áspero
tension,voltaje
obligation,obligación
EMS,ccsme
surgir,surgir
chaussures,zapatos
emprisonné,encarcelado
EN,EN
album,álbum
défendu,prohibido
Ours,oso
tourner,vez
SW,SO
actrice,actriz
Susan,Susan
Examen,revisión
unité,unidad
battement,batir
cote,precio
fier,orgulloso
Phase,fase
Lumière,luz
Semi-conducteur,Semiconductor
brevets,patentes
flux,fluir
combattant,luchador
Tonnelier,tonelero
rebondir,bote
Charbon,carbón
alerte,alerta
zones,áreas
NewWave,NewWave
Impôt,impuesto
Banian,Banyan
unification,unificación
Chi'ite,chiíta
touché,afectado
caméras,cámaras
grappe,racimo
Distribué,repartido
abri,abrigo
FDIC,FDIC
transmettre,transmitir
diffusion,radiodifusión
Dimanche,domingo
agressivement,agresivamente
file,expediente
ménages,hogares
Pont,puente
stylo,pluma
indépendamment,independientemente
assigner,asignar
juré,jurada
Clé,clave
Métropolitain,metropolitano
obtention,obtención
filtres,filtros
interrogatoire,interrogatorio
Mo,Mo
routeur,enrutador
Intérêt,interés
tige,tallo
forum,foro
pression,presión
diamètre,diámetro
financièrement,financieramente
Sterling,libra esterlina
Solutions,soluciones
VAR,VAR
classé,clasificado
esprits,espíritu
simple,simple
entre-temps,mientras tanto
à grande échelle,de gran envergadura
simple,simple
longue,largo
Valeur,valor
orientation,orientación
dizaines,decenas
BAT,MURCIÉLAGO
raid,redada
intérieur,dentro
Logiciel de,software
coûts,costos
Li,Li
mm,mm
productif,productivo
partout,por todas partes
assurer,asegurar
montagnes,montañas
suggestion,sugerencia
Intelligence,inteligencia
cloner,clon
plage,playa
gage,prenda
combinaisons,combinaciones
Sang,sangre
superviseur,supervisor
Nixon,Nixon
arrêts,paradas
mégaoctets,megabytes
vol,vuelo
prévu,planificado
collectif,colectivo
Ken,Ken
prédire,predecir
Privé,privado
Convention,convención
Bois,madera
Arafat,Arafat
chapeau,sombrero
éclat,brillo
Forces,fuerzas
Outils,instrumentos
enceinte,embarazada
notifiée,notificado
brun,marrón
souligné,fuera
souris,ratón
disque,disco
sécurisé,Secure
dommage,demasiado
certificats,Certificados
plus,más
organiser,organizar
étendue,alcance
Eric,Eric
Kidder,Kidder
poursuivre,continuar
ralliés,repuntado
Nazi,nazi
invité,invitado
3,"3,5 pulgadas"
Régional,regional
Géorgie,Georgia
passifs,pasivo
différentiel,diferencial
routeurs,routers
consister,consistir
phénomène,fenómeno
l'extrémité avant,interfaz
attirant,atractivo
écouter,escuchar
mile,milla
Indépendant,independiente
âge,edad
fils,hijo
varié,variado
distributions,distribuciones
survivants,sobrevivientes
Forum,foro
alloué,asignado
Harold,Harold
difficile,desafiante
Olympique,olímpico
sable,arena
objections,objeciones
h,h
Brésilien,brasileño
vendeurs,vendedores
Caractéristiques,características
Taureau,Tauro
extensible,extensible
proposer,proponer
bogues,bichos
dénombré,contado
localiser,localizar
commencez,puesta en marcha
combattants,combatientes
remplaçant,sustituto
transmissible,transmitida
scènes,escenas
Carte d'identité,Tarjeta de identificación
retiré,retirado
argumenter,argumentar
Caraïbes,Caribe
religion,religión
poulet,pollo
arrière,trasero
volonté,voluntad
consentement,consentimiento
Colo,Colo
Naturel,natural
définition,definición
vers le bas,abajo
Tel,tal
manuellement,a mano
complément,complemento
VM,VM
Entreprises,Las empresas
transformation,transformación
trafiquants,Los traficantes
copier,copia
réservé,reservado
prime,prima
mettant en vedette,que ofrece
Roumanie,Rumania
modèles,modelos
dpi,dpi
noyau,núcleo
Epson,Epson
position,posición
dominer,dominar
interactions,interacciones
ennemi,enemigo
en vrac,suelto
gang,pandilla
riche,rico
appartenant à l'Etat,estatal
panneaux,revestimiento de madera
prudence,precaución
Test,prueba
aéroports,aeropuertos
radiodiffusion,radiodifusión
palier,cojinete
Russell,Russell
quota,cuota
Entreprise,negocios
Transport,transporte
azote,nitrógeno
intimité,intimidad
adoption,adopción
décharge,descarga
scientifique,científico
repris,incluido
Presque,casi
Port,puerto
générateurs,generadores
Philippines,Filipinas
NW,noroeste
antique,antiguo
combinant,combinando
Ingres,Ingres
lancement,lanzamiento
poser,establecer
affrontement,confrontación
Hispanique,hispano
Greenspan,Greenspan
photo,foto
piégé,atrapado
Sud-ouest,Suroeste
Libye,Libia
drapeaux,banderas
Est,es
Réel,real
Thaïlande,Tailandia
moulin,molino
nourriture,comida
doses,dosis
Mercure,mercurio
recommande,recomienda
Femmes,mujeres
énergies,energías
privatisation,privatización
Vous aurez,Vas a
automobile,automóvil
Armé,armado
ozone,ozono
affaibli,debilitado
Meilleur,mejor
sommets,tops
sauve,ahorra
Grèce,Grecia
Les agriculteurs,Los agricultores
conclure,envolver
